id,nb_shop,nb_food,nb_minor_transport,nb_entertainment,nb_supermarket,nb_transport,nb_parking,nb_public_service,checkinsCount_avg,checkinsCount_sum,nb_ArtsEntertainment,nb_CollegeUniversity,nb_Event,nb_Food_fsquare,nb_NightlifeSpot,nb_OutdoorsRecreation,nb_ProfessionalOther,nb_Residence,nb_ShopService,nb_TravelTransport,cluster_labels
9897,0,2,0,2,0,0,0,1,324.5686274509804,49659,5,2,0,8,2,0,0,16,36,25,Residential with services
9595,13,5,0,2,0,1,0,0,3350.1370967741937,1246251,50,26,1,42,38,0,0,29,50,50,Cultural & going out places
9626,0,2,0,0,0,0,0,0,917.2307692307692,143088,9,2,0,16,8,0,0,7,41,50,Residential with services
9703,2,10,0,7,0,0,0,0,1238.813852813853,286166,35,7,0,29,14,0,0,8,50,50,Residential with services
9327,1,0,0,0,0,0,0,0,252.83823529411762,34386,12,1,0,19,6,0,0,19,46,5,Residential with services
10034,1,5,0,1,0,0,0,0,659.7055837563452,129962,14,8,0,36,23,0,0,8,50,14,Residential with services
9139,9,20,2,9,0,7,0,0,4877.558479532164,1668125,28,35,3,50,19,0,0,13,44,50,Activity center
9791,0,0,0,0,0,0,0,0,72.71428571428571,2545,3,2,0,1,0,0,0,9,2,1,Residential
9640,2,2,0,0,0,0,0,0,178.83505154639175,17347,1,2,0,13,6,0,0,17,12,17,Residential
10091,7,14,0,3,0,0,0,0,630.8923076923078,82016,9,0,0,33,3,0,0,10,28,25,Residential with services
9670,0,0,0,1,0,0,1,0,85.4794520547945,6240,4,1,0,5,4,0,0,22,22,1,Residential
9415,1,0,0,0,1,0,0,0,237.5675675675676,26370,4,1,0,23,3,0,0,10,32,10,Shopping areas
10157,0,0,0,0,0,0,0,0,1096.0112359550562,97545,4,27,0,5,4,0,0,4,10,16,Residential
9677,0,0,0,0,0,0,0,0,113.50769230769232,7378,0,1,0,3,1,0,0,9,4,9,Residential
9579,1,1,0,2,1,0,0,0,630.0333333333333,132307,18,1,0,25,29,0,0,35,24,18,Shopping areas
9576,0,1,0,0,0,0,1,0,291.0845070422535,20667,2,0,0,5,11,0,0,17,7,4,Residential
10078,9,11,0,0,0,0,0,1,800.9597315436241,119343,3,0,0,20,12,0,0,15,49,12,Residential with services
9719,0,0,0,0,0,0,0,0,105.85,4234,0,2,0,2,2,0,0,9,10,5,Residential
9484,1,3,0,0,0,0,0,0,551.319587628866,106956,40,1,1,13,27,0,0,12,47,12,Residential with services
9446,1,1,2,0,0,0,0,0,47.0958904109589,3438,3,2,0,3,1,0,0,18,7,8,Residential
9517,2,2,0,2,2,0,0,0,472.66666666666674,109186,25,4,0,33,22,0,0,25,46,31,Shopping areas
10180,2,0,0,1,1,0,1,0,1849.6,101728,2,1,0,2,5,0,0,8,10,8,Shopping areas
9016,1,1,0,2,0,1,0,0,356.4088397790055,64510,12,4,0,21,11,0,0,7,50,22,Residential with services
9432,0,0,0,0,0,0,0,0,29.444444444444446,265,0,0,0,1,1,0,0,2,3,0,Residential
9675,2,0,0,0,0,0,0,0,111.42647058823529,7577,3,1,0,8,1,0,0,9,9,4,Residential
9815,3,0,0,0,0,0,0,0,192.86111111111111,6943,1,0,0,3,3,0,0,8,5,3,Residential
9153,8,0,0,1,0,0,0,0,58.7888198757764,9465,9,1,0,12,3,0,0,14,40,26,Residential with services
9402,0,0,1,0,0,0,1,0,141.66,14166,5,1,0,16,5,0,0,4,20,2,Residential
9397,4,3,0,1,0,0,0,1,445.53781512605036,106038,23,1,1,41,14,0,0,12,50,50,Residential with services
9260,0,1,0,0,0,0,1,0,45.067415730337075,4011,6,2,0,5,10,0,0,14,16,7,Residential
9201,3,1,0,1,0,0,0,0,113.5,5675,2,0,0,5,0,0,0,5,8,17,Residential
9211,1,1,0,0,0,0,0,0,289.3055555555556,20830,2,0,0,7,7,0,0,13,14,8,Residential
9269,4,9,2,0,0,0,0,0,78.95714285714286,5527,4,1,0,3,3,0,0,16,4,5,Residential
9529,6,8,0,5,1,1,1,0,1798.1832797427653,559235,50,9,2,37,15,0,0,26,50,50,Cultural & going out places
9555,0,4,0,2,1,0,0,0,862.1288888888888,193979,22,5,0,26,24,0,0,34,17,34,Residential with services
9795,0,0,0,0,0,0,0,0,91.5,2745,0,1,0,0,1,0,0,9,4,2,Residential
9275,1,3,1,1,0,0,0,0,76.12280701754386,4339,1,0,0,18,1,0,0,7,12,2,Residential
10014,0,2,0,2,0,0,0,0,853.8938053097345,96490,12,1,1,8,7,0,0,14,18,13,Residential
9215,3,0,0,3,0,0,1,0,420.96428571428567,47148,2,0,0,15,10,0,0,13,29,17,Residential
9860,3,0,1,4,0,0,0,0,510.70769230769235,33196,1,2,0,3,2,0,0,3,12,16,Residential
9396,0,0,0,3,0,3,0,2,215.8301886792453,11439,2,0,0,6,1,0,0,6,12,5,Residential
9031,0,0,0,2,1,0,0,0,171.2215909090909,30135,3,31,0,19,6,0,0,10,14,28,Shopping areas
9303,0,0,0,1,0,0,0,0,91.10526315789473,5193,2,2,0,12,3,0,0,2,25,3,Residential
9751,0,0,0,0,0,0,0,0,75.34042553191489,3541,1,1,0,3,3,0,0,6,10,6,Residential
9790,0,0,0,0,0,0,0,0,63.8,4147,4,1,0,1,3,0,0,15,6,9,Residential
9496,9,4,0,6,0,1,0,1,2051.0753968253966,516871,50,3,1,50,20,0,0,16,21,50,Cultural & going out places
9809,2,2,0,0,0,0,0,0,54.29787234042554,2552,4,0,0,4,0,0,0,13,2,9,Residential
9601,0,2,0,7,0,0,0,1,1055.7546468401488,283998,21,2,0,33,31,0,0,35,33,50,Residential with services
9024,0,1,0,0,0,0,0,1,158.11764705882354,13440,1,1,0,5,2,0,0,7,7,3,Residential
9841,1,0,0,7,0,0,0,0,41.16666666666666,247,0,0,0,1,0,0,0,0,0,1,Residential
10156,6,5,0,0,2,0,1,0,1005.7206703910615,180024,11,2,0,12,13,0,0,7,50,26,Shopping areas
9489,0,1,0,0,0,0,2,0,228.2352941176471,42680,13,1,0,22,13,0,0,10,42,43,Residential with services
9575,7,5,0,1,0,0,0,1,218.91964285714286,24519,5,1,0,18,6,0,0,11,14,17,Residential
9105,0,0,0,1,0,0,0,0,120.93150684931507,8828,6,0,0,5,3,0,0,10,13,6,Residential
9736,0,1,0,2,0,0,3,0,309.79295154185024,70323,22,9,1,13,5,0,0,27,29,24,Residential with services
9376,0,0,0,0,0,0,0,0,69,1587,1,0,0,3,1,0,0,4,5,4,Residential
9077,0,5,0,0,1,0,0,0,554.4108527131783,71519,2,0,0,28,4,0,0,11,46,11,Shopping areas
9463,0,0,0,0,0,0,0,0,105.95238095238096,2225,1,2,0,1,0,0,0,6,5,0,Residential
9532,0,0,0,0,0,0,0,0,297.6296296296296,24108,4,29,0,3,4,0,0,9,4,10,Residential
9637,2,1,0,1,0,0,0,0,253.6341463414634,20798,2,1,0,8,1,0,0,12,8,7,Residential
10184,3,5,0,0,0,1,0,0,960.049261083744,194890,15,12,0,16,12,0,0,13,50,50,Residential with services
9078,0,0,0,0,0,0,0,0,118.51428571428572,8296,1,1,0,7,5,0,0,10,6,24,Residential
9571,1,6,0,5,0,0,4,0,1960.4758364312268,527368,50,11,2,28,15,0,0,24,18,50,Cultural & going out places
9807,1,1,1,0,1,0,0,1,102.03703703703705,5510,2,0,0,3,2,0,0,12,10,5,Shopping areas
9241,1,0,0,0,0,0,0,0,105.19565217391305,4839,1,0,0,7,3,0,0,15,4,7,Residential
9863,0,0,0,0,0,1,0,0,99.03448275862068,5744,4,0,0,5,1,0,0,16,7,2,Residential
9017,0,0,0,0,0,0,0,0,165.81914893617022,15587,2,3,0,14,6,0,0,7,7,7,Residential
9561,2,1,0,1,0,1,2,0,1375.7530864197531,334308,43,5,0,20,34,0,0,6,50,40,Residential with services
9798,0,0,0,2,0,0,0,0,92.75757575757576,3061,0,0,0,1,1,0,0,6,2,2,Residential
9410,1,2,0,6,0,1,0,0,57.20289855072464,3947,3,3,0,4,4,0,0,17,5,11,Residential
9996,0,0,0,8,0,0,0,0,196.37777777777774,8837,2,2,0,5,0,0,0,12,3,2,Residential
9181,3,1,0,0,1,1,0,0,93.65217391304348,4308,0,0,0,10,1,0,0,6,19,2,Shopping areas
9716,0,0,0,0,0,0,0,0,39.766666666666666,1193,2,0,0,2,2,0,0,12,4,2,Residential
9907,0,0,0,2,0,0,0,1,69.42857142857143,2430,1,0,0,4,1,0,0,6,10,6,Residential
8991,0,2,0,1,0,0,0,1,463.55208333333326,133503,14,25,0,49,17,0,0,31,49,42,Residential with services
9007,12,5,0,2,0,0,0,2,1163.318352059925,310606,30,24,0,50,12,0,0,11,50,36,Universities
9526,2,0,0,0,0,0,0,0,496.1652892561983,60036,5,10,1,10,4,0,0,6,26,25,Residential
9495,0,2,0,1,0,0,0,0,124.62222222222222,11216,1,1,0,12,11,0,0,15,22,5,Residential
9160,0,0,0,5,0,0,0,0,244.9375,19595,4,1,0,8,1,0,0,15,12,10,Residential
9747,1,1,0,0,0,0,0,0,218.87142857142857,15321,3,3,0,6,11,0,0,13,9,4,Residential
9986,0,0,1,0,0,0,0,0,20.08695652173913,462,0,0,0,2,1,0,0,7,2,2,Residential
9449,4,2,1,0,2,0,0,0,229.62,11481,2,0,0,9,2,0,0,6,11,5,Shopping areas
9866,0,0,0,0,0,0,0,0,64.22222222222223,578,0,0,0,1,1,0,0,3,1,2,Residential
10060,0,0,0,2,0,0,0,0,54.96666666666667,1649,0,0,0,9,3,0,0,3,6,0,Residential
9458,1,0,0,0,0,0,0,0,151.5691056910569,18643,27,0,0,7,2,0,0,4,22,8,Residential
9578,2,6,2,3,0,0,3,0,792.8575667655788,267193,50,50,1,20,33,0,0,16,50,50,Cultural & going out places
9742,0,1,0,1,0,0,0,0,67.22,3361,0,1,0,3,2,0,0,8,14,5,Residential
9587,0,0,1,0,0,0,0,0,78.52,7852,5,1,0,1,2,0,0,9,18,11,Residential
9648,1,1,0,0,0,0,0,0,55.860465116279066,4804,2,0,0,5,7,0,0,19,16,13,Residential
9904,1,2,1,0,0,0,0,0,330.5,54202,4,4,0,21,5,0,0,27,34,14,Residential with services
9810,1,0,1,0,0,0,0,0,129.5151515151515,8548,2,0,0,4,4,0,0,15,10,8,Residential
9812,0,0,0,1,0,0,0,0,79.14285714285714,2770,2,0,0,2,1,0,0,13,2,6,Residential
9980,0,0,0,1,1,0,2,1,157.46666666666667,4724,1,0,0,1,0,0,0,3,4,4,Shopping areas
9023,33,29,1,3,0,0,0,0,1979.5434083601285,615638,46,19,0,50,50,0,0,8,49,7,Cultural & going out places
9228,0,0,0,1,0,0,0,0,217.44303797468356,17178,6,1,0,1,2,0,0,18,7,7,Residential
9438,1,0,0,0,0,0,0,0,83.78,4189,1,2,0,1,0,0,0,4,2,4,Residential
9462,2,3,2,1,0,0,0,0,185.6923076923077,9656,0,1,0,3,2,0,0,12,11,8,Residential
10057,0,0,0,0,0,0,0,0,18.26086956521739,420,1,0,0,5,0,0,0,1,7,2,Residential
9417,5,4,1,1,1,0,0,0,146.4558823529412,9959,1,1,0,17,5,0,0,7,18,7,Shopping areas
9893,0,1,0,14,0,0,0,0,1122.2568306010926,205373,21,2,0,21,7,0,0,0,16,44,Residential with services
9194,8,9,0,13,0,1,1,0,1688.1832298136646,543595,50,7,0,37,50,0,0,21,50,50,Cultural & going out places
10149,0,0,0,0,0,0,0,0,48.41379310344828,2808,1,1,0,2,1,0,0,6,14,6,Residential
9198,7,2,1,7,0,0,1,0,1164.3650306748466,379583,38,3,2,21,49,0,0,29,50,50,Cultural & going out places
9244,0,0,0,0,0,0,0,0,96.96825396825396,6109,2,3,0,0,3,0,0,5,14,9,Residential
9581,0,4,0,1,0,0,0,0,1243.2763819095478,247412,9,2,0,25,25,0,0,22,50,30,Residential with services
10041,0,0,0,0,0,0,0,0,320.59375,10259,0,6,0,8,0,0,0,4,2,1,Residential
9385,0,0,0,0,0,0,0,0,110.8095238095238,6981,1,0,0,11,2,0,0,12,23,4,Residential
10064,1,3,0,13,0,0,0,1,1148.4026548672564,259539,8,6,1,44,10,0,0,20,24,48,Residential with services
9033,0,3,0,1,0,0,0,0,1170.9421487603306,141684,12,2,0,11,5,0,0,15,36,17,Residential with services
9854,8,9,2,8,0,0,2,0,1194.952380952381,250940,16,1,0,18,7,0,0,17,50,41,Residential with services
9427,3,6,3,0,0,0,2,0,886.5552486187845,320933,40,3,1,24,50,0,0,50,50,50,Cultural & going out places
9013,5,1,1,0,0,1,0,0,563.6879194630873,167979,32,50,0,42,3,0,0,9,50,46,Residential with services
9122,4,3,0,0,0,0,0,0,311.91379310344826,54273,13,5,0,25,6,0,0,11,50,15,Residential with services
9035,0,14,1,2,0,0,0,0,1218.6810344827584,282734,28,12,0,34,33,0,0,21,44,16,Residential with services
9633,1,2,0,0,0,0,0,0,1488.6164383561645,108669,2,0,0,7,4,0,0,17,15,8,Residential
9387,1,0,0,0,0,0,0,0,530.7777777777778,9554,0,0,0,3,5,0,0,2,1,0,Residential
9094,2,0,0,0,0,0,0,0,39.046875,2499,3,0,0,3,5,0,0,12,13,5,Residential
9398,0,0,0,2,0,0,0,1,98.36363636363636,2164,1,0,0,3,0,0,0,1,4,2,Residential
9145,0,0,0,0,0,0,0,0,214.9783783783784,39771,20,0,0,17,5,0,0,6,50,29,Residential with services
9356,1,1,0,0,0,0,0,0,364.5123966942149,44106,2,3,0,35,2,0,0,8,28,8,Residential
10159,3,1,0,0,0,0,0,0,64.65333333333334,4849,4,3,0,6,4,0,0,10,18,6,Residential
9552,1,13,0,0,0,0,0,0,1794.5023474178406,382229,29,7,1,25,17,0,0,24,43,21,Residential with services
9697,0,2,0,0,0,0,0,0,137.19753086419752,11113,3,0,0,12,5,0,0,18,21,7,Residential
9063,1,2,0,1,0,0,1,0,302.3648648648648,44750,4,3,0,14,5,0,0,16,20,26,Residential
9705,0,0,0,0,0,0,0,0,65.57317073170732,5377,2,0,0,5,11,0,0,15,20,5,Residential
9845,0,0,0,3,0,0,0,0,531.2945205479451,77569,8,11,1,9,9,0,0,3,26,30,Residential
9206,0,0,1,0,0,0,0,1,92.0923076923077,11972,6,0,0,6,1,0,0,10,25,26,Residential
9490,1,0,0,2,0,0,0,0,308.0963855421686,51144,13,0,0,19,19,0,0,28,27,7,Residential with services
9507,3,2,0,10,0,0,1,0,244.63291139240508,38652,4,1,0,12,5,0,0,2,34,39,Residential with services
9956,0,0,0,3,0,0,0,0,131.57894736842104,2500,0,3,0,3,0,0,0,1,4,1,Residential
9749,0,0,0,1,0,0,0,0,615.4629629629628,33235,3,0,0,4,2,0,0,7,13,4,Residential
9412,0,0,2,2,0,0,0,0,181.53846153846158,7080,0,0,0,4,1,0,0,7,2,10,Residential
9480,0,1,1,0,0,0,0,0,149.98630136986299,10949,5,5,0,12,3,0,0,8,16,3,Residential
9701,0,1,0,0,0,0,0,0,69.21276595744679,3253,5,1,0,1,2,0,0,14,4,7,Residential
9026,2,3,0,0,0,1,0,0,783.3793103448276,181744,16,50,0,13,4,0,0,12,19,41,Residential with services
9546,1,1,0,0,0,0,1,0,48.26388888888889,3475,3,1,0,3,3,0,0,10,12,11,Residential
9098,2,0,0,2,0,0,1,0,484.873417721519,153220,31,5,1,37,23,0,0,38,50,50,Residential with services
9685,0,2,0,2,0,0,0,0,1338.978021978022,243694,33,3,0,26,9,0,0,16,22,18,Residential with services
9895,0,0,0,2,0,0,1,0,450.37,90074,7,4,0,31,6,0,0,12,35,37,Residential with services
9060,0,0,0,0,0,0,0,0,247.04054054054055,18281,0,1,0,0,6,0,0,6,11,30,Residential
9232,7,10,1,2,0,0,1,0,1326.2887323943662,188333,6,2,0,10,2,0,0,10,50,21,Residential with services
10125,0,0,0,0,0,0,1,0,149.05128205128202,5813,2,0,0,4,2,0,0,6,8,10,Residential
10162,0,0,1,0,0,0,0,0,212.2,6366,0,0,0,0,3,0,0,6,2,12,Residential
9268,0,1,0,0,0,0,0,0,100.42424242424242,6628,3,2,0,2,4,0,0,13,5,5,Residential
9208,15,12,0,5,0,1,1,0,1935.7175141242935,685244,50,27,1,30,50,0,0,49,32,50,Cultural & going out places
9407,0,0,0,6,0,0,0,0,93.63265306122447,4588,1,2,0,6,3,0,0,1,19,6,Residential
9419,1,0,0,4,0,0,0,0,61.087719298245624,3482,1,2,0,14,2,0,0,1,20,2,Residential
9540,2,2,1,2,0,1,0,0,788.2136363636363,173407,9,5,1,29,16,0,0,20,50,27,Residential with services
9938,2,6,0,0,1,0,0,0,51.280701754385966,2923,2,1,0,5,1,0,0,13,10,10,Shopping areas
9205,2,7,0,0,1,0,0,0,1544.3513513513512,171423,14,1,0,11,5,0,0,12,4,19,Shopping areas
10146,0,0,0,2,0,0,0,0,600.4574468085108,56443,3,2,0,8,9,0,0,18,14,7,Residential
9337,1,1,0,3,1,1,1,0,824.2938931297708,215965,34,19,3,7,17,0,0,18,42,50,Cultural & going out places
9869,0,0,0,0,0,0,0,2,81.53061224489795,3995,9,0,0,9,1,0,0,4,15,6,Residential
9121,5,0,0,0,0,0,0,0,247.28301886792454,39318,24,3,0,15,1,0,0,5,46,14,Residential with services
10140,2,5,0,0,0,0,0,0,931.0657894736843,212283,14,3,0,30,19,0,0,29,50,25,Residential with services
9447,0,0,0,0,0,0,0,0,66.14285714285714,926,0,1,0,0,0,0,0,4,1,0,Residential
9512,0,0,0,0,0,0,0,0,315.8980582524272,65075,14,5,0,48,8,0,0,11,48,27,Residential with services
9456,1,4,1,0,0,0,0,0,343.3055555555556,24718,1,1,0,4,7,0,0,16,7,6,Residential
9840,0,1,0,0,0,0,0,0,818.6190476190477,17191,3,0,0,1,1,0,0,8,1,0,Residential
10144,0,0,0,1,0,0,0,0,102.30188679245285,5422,1,0,0,4,3,0,0,13,5,14,Residential
9242,0,0,0,0,0,0,0,0,31.57142857142857,663,0,0,0,4,1,0,0,7,2,1,Residential
9340,0,1,0,0,0,0,0,0,311.8061224489796,30557,8,14,0,25,8,0,0,12,12,6,Residential
9614,1,0,0,0,1,0,0,0,1035.6287425149699,172950,4,2,0,24,10,0,0,9,50,17,Shopping areas
9566,0,0,0,0,0,0,0,0,25.590163934426233,1561,2,0,0,17,0,0,0,9,24,1,Residential
9834,1,0,0,0,0,0,0,1,109.46666666666668,4926,1,1,0,2,1,0,0,10,2,1,Residential
10154,1,2,0,2,0,0,0,0,527.6898734177215,83375,9,3,0,34,9,0,0,15,23,26,Residential with services
9711,0,1,0,0,0,0,0,0,99.9425287356322,8695,7,1,0,3,9,0,0,16,11,7,Residential
9169,0,0,0,0,0,0,0,0,104.86842105263158,3985,3,1,0,10,0,0,0,6,7,1,Residential
9922,2,2,2,0,0,0,0,0,86.33333333333331,4144,1,2,0,5,1,0,0,11,8,4,Residential
9911,0,0,0,0,0,0,0,0,18.352941176470583,312,1,0,0,3,0,0,0,3,6,0,Residential
9006,15,13,0,4,0,0,2,2,2259.989333333333,847496,50,24,5,35,50,0,0,39,50,50,Cultural & going out places
9586,1,5,0,1,0,0,0,0,1436.71875,275850,23,3,1,19,28,0,0,25,39,27,Residential with services
9310,2,0,4,21,0,1,6,0,436.7058823529412,66816,12,1,0,20,4,0,0,15,33,12,Residential with services
9332,0,0,0,3,0,0,0,0,140.69767441860466,12100,1,2,0,13,0,0,0,7,24,9,Residential
9261,0,5,0,0,0,0,0,0,332.0047846889952,69389,2,1,0,38,5,0,0,19,50,37,Residential with services
9354,0,0,0,36,0,0,1,1,371.2128514056225,92432,12,3,0,16,10,0,0,38,50,20,Residential with services
9172,0,0,0,0,0,0,0,0,44.930232558139544,1932,1,1,0,10,1,0,0,10,11,0,Residential
9835,0,0,0,4,0,1,0,1,608.8620689655173,105942,15,2,0,26,3,0,0,7,50,16,Residential with services
9333,0,1,0,2,0,0,0,0,134.10309278350516,13008,6,7,0,4,7,0,0,11,23,13,Residential
9694,1,3,0,2,1,0,1,0,375.19753086419746,60782,4,2,0,22,5,0,0,11,39,19,Shopping areas
9314,0,0,0,0,0,0,0,0,186.66666666666663,6720,1,0,0,6,2,0,0,5,13,3,Residential
9321,5,6,1,1,0,0,0,0,531.640625,34025,4,2,0,16,4,0,0,5,17,4,Residential
9131,5,2,0,1,0,1,0,0,821.1339285714287,183934,7,4,0,40,7,0,0,14,50,42,Residential with services
9440,2,0,0,12,0,0,0,0,351.0352112676056,49847,12,25,2,11,5,0,0,5,12,24,Residential
9750,0,0,0,0,0,0,0,0,58.53191489361702,2751,2,0,0,3,2,0,0,9,11,4,Residential
10183,3,5,0,0,0,0,0,0,425.6184210526316,32347,6,2,1,7,2,0,0,6,14,9,Residential
8997,1,0,0,1,0,0,0,0,362.90506329113924,57339,2,8,0,26,7,0,0,11,46,19,Residential with services
9138,5,1,0,2,0,0,0,1,389.125,34243,15,3,0,19,2,0,0,8,3,8,Residential
